question,A,B,C,D,answer,level,topic
"A rare disease affects 1 in 1000 people. A diagnostic test for the disease has a 99% true positive rate (sensitivity) and a 2% false positive rate. If a randomly selected person tests positive, what is the probability they actually have the disease?",0.047,0.0099,0.99,0.0198,0.047,L2,Probability
"A discrete random variable X has the probability mass function P(X=k) = c * (1/3)^k for k=1, 2, 3, ... What is the expected value of X?",1.5,2,3,0.5,1.5,L2,Probability
"Let X be a discrete random variable with P(X=0) = 0.2, P(X=1) = 0.5, P(X=2) = 0.3. Calculate Var(X).",0.49,1.1,1.7,0.7,0.49,L2,Probability
"A continuous random variable X has the probability density function f(x) = cx for 0 ≤ x ≤ 2, and 0 otherwise. Find the probability P(X > 1.5).",0.4375,0.5,0.25,0.75,0.4375,L2,Probability
"Let X and Y be discrete random variables with the following joint PMF: P(X=0, Y=0) = 0.1, P(X=0, Y=1) = 0.2, P(X=1, Y=0) = 0.3, P(X=1, Y=1) = 0.4. Are X and Y independent?","No, because P(X=0, Y=0) is not equal to P(X=0)P(Y=0).","Yes, because the sum of all joint probabilities is 1.","Yes, because P(X=0, Y=1) + P(X=1, Y=0) = P(X=0) + P(Y=0).","No, because the marginal probabilities are not all equal.","No, because P(X=0, Y=0) is not equal to P(X=0)P(Y=0).",L2,Probability
"Let X and Y be continuous random variables with joint PDF f(x,y) = 2 for 0 < x < y < 1, and 0 otherwise. Calculate Cov(X,Y).",1/36,1/4,1/3,2/9,1/36,L2,Probability
"If the moment generating function of a random variable X is M_X(t) = (0.4e^t + 0.6)^3, what is the variance of X?",0.72,1.2,0.48,1.8,0.72,L2,Probability
A biased coin has a probability of landing heads equal to 0.3. The coin is flipped repeatedly until the first head appears. What is the probability that the first head occurs on an even-numbered flip?,7/17,3/10,7/10,3/7,7/17,L2,Probability
"Calls arrive at a call center at an average rate of 5 calls per minute. Assuming a Poisson process, what is the probability that exactly 3 calls arrive in a 30-second interval?",(2.5^3 * e^-2.5) / 3!,(5^3 * e^-5) / 3!,(2.5^3 * e^-2.5) / 5!,(5^3 * e^-5) / 5!,(2.5^3 * e^-2.5) / 3!,L2,Probability
"The lifetime of a certain electronic component follows an exponential distribution with a mean lifetime of 200 hours. If a component has already lasted for 100 hours, what is the probability that it will last for at least another 150 hours?",e^(-0.75),e^(-1.25),e^(-0.5),e^(-1.0),e^(-0.75),L2,Probability
